add-yield-none,2,10,40,163825,4095,0
add-yield-none,4,10,80,208338,2604,0
add-yield-none,8,10,160,328727,2054,2
add-yield-none,12,10,240,447534,1864,1
add-yield-none,2,20,80,228352,2854,0
add-yield-none,4,20,160,216298,1351,2
add-yield-none,8,20,320,334031,1043,5
add-yield-none,12,20,480,614993,1281,3
add-yield-none,2,40,160,217680,1360,1
add-yield-none,4,40,320,272449,851,0
add-yield-none,8,40,640,404067,631,3
add-yield-none,12,40,960,592255,616,1
add-yield-none,2,80,320,278651,870,0
add-yield-none,4,80,640,370974,579,3
add-yield-none,8,80,1280,588547,459,2
add-yield-none,12,80,1920,626380,326,2
add-yield-none,2,100,400,338840,847,1
add-yield-none,4,100,800,355301,444,2
add-yield-none,8,100,1600,544594,340,2
add-yield-none,12,100,2400,646937,269,2
add-yield-none,2,1000,4000,1893332,473,1
add-yield-none,4,1000,8000,2239376,279,1
add-yield-none,8,1000,16000,2644003,165,7
add-yield-none,12,1000,24000,3409755,142,41
add-yield-none,2,10000,40000,18889550,472,1
add-yield-none,4,10000,80000,20558657,256,7
add-yield-none,8,10000,160000,27089141,169,125
add-yield-none,12,10000,240000,31103337,129,455
add-yield-none,2,100000,400000,191296109,478,4
add-yield-none,4,100000,800000,194265677,242,42
add-yield-none,8,100000,1600000,222010748,138,1512
add-yield-none,12,100000,2400000,278906387,116,2658
add-none,1,10,20,160429,8021,0
add-none,1,100,200,129351,646,0
add-none,1,1000,2000,129481,64,0
add-none,1,10000,20000,254377,12,0
add-none,1,100000,200000,1358937,6,0
add-none,1,1000000,2000000,12271720,6,0
add-none,2,100,400,150791,376,0
add-none,2,1000,4000,167002,41,0
add-none,2,10000,40000,564532,14,57
add-none,2,100000,400000,6143066,15,674
add-none,2,1000000,4000000,50097573,12,4763
add-none,2,100,400,127243,318,0
add-none,4,1000,8000,208682,26,0
add-none,4,10000,80000,1600573,20,329
add-none,4,100000,800000,17436680,21,3188
add-none,4,1000000,8000000,148622285,18,35579
add-none,8,100,1600,320037,200,0
add-none,8,1000,16000,317238,19,0
add-none,8,10000,160000,3762572,23,591
add-none,8,100000,1600000,37891326,23,5992
add-none,8,1000000,16000000,394061246,24,63066
add-none,12,100,2400,454286,189,0
add-none,12,1000,24000,803506,33,71
add-none,12,10000,240000,6768560,28,1082
add-none,12,100000,2400000,66289501,27,10522
add-yield-none,1,100,200,304164,1520,0
add-yield-none,1,1000,2000,1777415,888,0
add-yield-none,1,10000,20000,17835661,891,0
add-yield-none,1,100000,200000,168152226,840,0
add-yield-none,1,1000000,2000000,1820357018,910,0
add-yield-none,2,1000000,4000000,1978619661,494,22
add-yield-none,4,1000000,8000000,2022420318,252,374
add-yield-none,8,1000000,16000000,2096936968,131,16960
add-yield-m,2,10000,40000,65007368,1625,0
add-yield-m,4,10000,80000,137937160,1724,0
add-yield-m,8,10000,160000,261877957,1636,0
add-yield-m,12,10000,240000,419157103,1746,0
add-yield-c,2,10000,40000,35374106,884,0
add-yield-c,4,10000,80000,66199116,827,0
add-yield-c,8,10000,160000,128326434,802,0
add-yield-c,12,10000,240000,171887419,716,0
add-yield-s,2,1000,4000,4227013,1056,0
add-yield-s,4,1000,8000,8846024,1105,0
add-yield-s,8,1000,16000,30872323,1929,0
add-yield-s,12,1000,24000,55548479,2314,0
add-m,1,10000,20000,795560,39,0
add-m,2,10000,40000,3710714,92,0
add-m,4,10000,80000,10141713,126,0
add-m,8,10000,160000,31219438,195,0
add-m,12,10000,240000,50851412,211,0
add-c,1,10000,20000,562674,28,0
add-c,2,10000,40000,2900967,72,0
add-c,4,10000,80000,9393123,117,0
add-c,8,10000,160000,18908933,118,0
add-c,12,10000,240000,29872158,124,0
add-s,1,10000,20000,434765,21,0
add-s,2,10000,40000,5257635,131,0
add-s,4,10000,80000,22783257,284,0
add-s,8,10000,160000,80598689,503,0
add-s,12,10000,240000,236161401,984,0
